Title,Category,Sub-Category,Skills,Rating,Number of viewers,Site,Level,Price
Supply Chain Management Specialization,Business,Business Essentials,"Forecasting, Logistics, Supply Chain, Lean Six Sigma, Supply Chain Risk Management, Warehouse Management, Logistics Planning, Inventory, Six Sigma, Microsoft Excel, Planning, Demand Forecasting,",4.8,11037.0,Coursera,,
Fintech: Foundations & Applications of Financial Technology Specialization,Business,Business Essentials,"Investment Management, Cryptocurrency, regulation, Blockchain,",4.6,3316.0,Coursera,,
Microsoft 365 Fundamentals Specialization,Business,Business Essentials,"Create and maintain professional looking documents, Create and edit a workbook with multiple sheets, Represent data visually, Create and manage presentations, Describe the apps and services available in a Microsoft 365 subscription, Documents, Microsoft Word, Microsoft Excel, Chart, Worksheet, Microsoft PowerPoint, Presentation,",4.7,1123.0,Coursera,,
Search Engine Optimization (SEO) Specialization,Business,Marketing,"Search Algorithm, Search Engine Optimization (SEO), Mathematical Optimization, Semantics, Social Media, Keyword Research, Marketing, Content Marketing, Social Media Marketing,",4.7,10289.0,Coursera,,
AI Product Management Specialization,Data Science,Machine Learning,"Data Science, Artificial Intelligence (AI), Machine Learning, Predictive Analytics, Modeling, Artificial Neural Network, Project Management, Privacy, Design Thinking, Ethics,",4.7,165.0,Coursera,,
Introduction to Programming with Python and Java Specialization,Computer Science,Software Development,"Programming Principles, Python Programming, Java Programming, Data Structure, Computer Programming, Python Tools, Python Syntax And Semantics, Data Science, Python Libraries, Data Analysis, Data Visualization (DataViz), Java Tools,",4.4,960.0,Coursera,,
Construction Management Specialization,Business,Leadership and Management,"Schedule, Cost Estimate, Cost Control, Finance, Real Estate finance, Project Management, Construction Management, Work Breakdown Structure, Project Planning, Linear Scheduling Method, Program Evaluation And Review Technique (PERT), Critical Path Method,",4.8,6900.0,Coursera,,
IBM Introduction to Machine Learning Specialization,Data Science,Data Analysis,"Machine Learning Regression, Machine Learning Classification, Machine Learning, Unsupervised Learning, Exploratory Data Analysis, Artificial Intelligence (AI), Feature Engineering, Statistical Hypothesis Testing, Regression Analysis, Supervised Learning, Linear Regression, Ridge Regression,",4.7,251.0,Coursera,,
Data Analysis and Presentation Skills: the PwC Approach Specialization,Business,Business Essentials,"Data Analysis, Microsoft Excel, Data Visualization (DataViz), Presentation, Data-Informed Decision-Making, Big Data, Pivot Table, Data Cleansing, Dashboard (Business), Data Virtualization, Communication, Presentation Design,",4.7,9541.0,Coursera,,
AWS Fundamentals Specialization,Information Technology,Cloud Computing,"AWS Identity and Access Management, Networking on AWS, AWS Management Console, Cloud Computing, aws security, aws, Information Privacy, Cloud Management, security, Cloud Applications, AWS Lambda, Amazon Lex,",4.6,10966.0,Coursera,,
Data Science: Foundations using R Specialization,Data Science,Data Analysis,"Data Science, Machine Learning, Github, R Programming, Exploratory Data Analysis, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis,",4.6,5839.0,Coursera,,
Python 3 Programming Specialization,Computer Science,Software Development,"Json, Computer Programming, Python Programming, Sorting,",4.7,15871.0,Coursera,,
Reinforcement Learning Specialization,Data Science,Machine Learning,"Artificial Intelligence (AI), Machine Learning, Reinforcement Learning, Function Approximation, Intelligent Systems,",4.8,2965.0,Coursera,,
